Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_cut,FarFromHome,LowMonthlyIncome,LowWorkingYears,TotalSatisfaction
No,Travel_Rarely,1459,10,Master,Other,Male,41,High,2,Healthcare Representative,Married,19121,2,Yes,13,Excellent,0,5,Best,4,2,1,3,3,0,0,0,9
No,Travel_Rarely,125,9,College,Medical,Male,83,Medium,1,Laboratory Technician,Single,16117,1,No,13,Excellent,0,5,Better,10,0,1,8,1,0,1,0,5
Yes,Travel_Rarely,895,5,Bachelor,Technical Degree,Male,56,High,2,Sales Representative,Married,3335,3,No,14,Excellent,1,6,Best,1,0,0,0,2,0,1,0,8
Yes,Travel_Rarely,813,1,Bachelor,Medical,Male,61,High,1,Research Scientist,Married,3020,2,Yes,16,Excellent,1,2,Good,2,0,2,0,0,0,1,0,4
No,Travel_Rarely,1273,2,College,Medical,Female,72,Very High,1,Research Scientist,Divorced,21923,1,No,12,Excellent,2,3,Good,5,3,1,4,2,0,1,0,8
Yes,Travel_Rarely,869,3,College,Marketing,Male,86,Medium,1,Sales Representative,Married,3810,1,Yes,14,Excellent,0,2,Better,3,2,0,2,3,0,1,0,4
No,Travel_Rarely,890,2,Bachelor,Marketing,Female,97,High,1,Sales Representative,Married,9687,1,No,13,Excellent,0,3,Better,2,2,2,2,2,0,1,1,6
No,Travel_Rarely,852,5,Master,Life Sciences,Female,82,Medium,1,Research Scientist,Married,13072,9,Yes,14,Excellent,1,3,Best,1,1,0,0,2,0,0,0,4
No,Travel_Frequently,1141,1,Bachelor,Life Sciences,Female,42,Very High,2,Sales Executive,Married,3193,2,No,19,Excellent,2,3,Better,5,3,1,3,1,0,0,0,2
No,Travel_Rarely,464,4,College,Other,Male,75,High,1,Laboratory Technician,Divorced,10910,1,No,12,Excellent,1,3,Better,1,0,0,0,2,0,1,1,7
No,Travel_Rarely,1240,2,Master,Life Sciences,Female,33,High,1,Laboratory Technician,Divorced,19715,1,No,13,Excellent,1,6,Better,1,0,0,0,1,0,1,1,6
Yes,Travel_Rarely,1357,25,Bachelor,Life Sciences,Male,48,Low,1,Laboratory Technician,Single,10558,1,No,12,Excellent,0,2,Good,1,0,0,1,0,1,1,1,4
No,Travel_Frequently,994,8,Bachelor,Life Sciences,Male,37,High,3,Sales Executive,Single,2975,1,No,15,Excellent,0,0,Better,9,8,1,7,1,0,0,0,8
No,Travel_Frequently,721,1,College,Medical,Female,58,High,2,Laboratory Technician,Single,10781,1,No,23,Outstanding,0,2,Better,12,8,3,7,1,0,0,0,8
No,Non-Travel,1065,23,Master,Marketing,Male,72,High,2,Sales Executive,Single,10034,1,No,20,Outstanding,0,2,Better,9,5,8,7,1,1,0,0,5
No,Travel_Rarely,408,19,College,Life Sciences,Male,73,High,1,Research Scientist,Married,10227,4,No,21,Outstanding,0,1,Better,1,0,0,0,2,0,1,0,2
No,Travel_Frequently,1211,5,Master,Marketing,Male,98,High,2,Sales Executive,Single,20445,4,Yes,21,Outstanding,0,4,Better,9,6,0,8,3,0,0,0,5
No,Travel_Rarely,1229,8,Below College,Life Sciences,Male,36,Very High,1,Laboratory Technician,Married,4892,1,No,19,Excellent,0,2,Better,1,0,0,1,2,0,1,1,9
Yes,Travel_Rarely,626,1,College,Life Sciences,Male,98,Medium,3,Laboratory Technician,Single,19294,9,Yes,13,Excellent,0,2,Better,1,0,0,0,3,0,0,0,5
Yes,Travel_Rarely,1434,5,Master,Technical Degree,Male,50,High,1,Laboratory Technician,Single,11179,1,Yes,13,Excellent,0,3,Good,2,2,2,2,1,0,0,1,6
No,Travel_Rarely,1488,1,Doctor,Marketing,Female,75,High,2,Sales Executive,Divorced,4009,5,Yes,21,Outstanding,1,2,Good,4,3,1,3,3,0,0,0,3
No,Non-Travel,1097,11,College,Medical,Male,79,Medium,3,Healthcare Representative,Married,8302,2,Yes,13,Excellent,1,3,Better,4,0,2,3,2,0,0,0,4
No,Travel_Rarely,1443,23,Bachelor,Marketing,Female,47,Medium,2,Sales Executive,Married,21436,7,Yes,19,Excellent,1,2,Good,2,2,0,0,0,1,0,0,7
No,Travel_Frequently,515,1,College,Life Sciences,Female,98,High,3,Research Director,Single,15146,1,Yes,12,Excellent,0,1,Better,15,14,8,12,1,0,0,0,5
No,Travel_Frequently,853,18,Doctor,Life Sciences,Male,71,High,3,Sales Executive,Married,11031,1,No,22,Outstanding,1,3,Good,9,8,1,8,2,0,0,0,4
No,Travel_Rarely,1142,23,Master,Medical,Female,30,High,1,Laboratory Technician,Married,16002,3,Yes,15,Excellent,1,3,Better,2,2,2,2,2,1,0,0,4
No,Travel_Rarely,655,7,Master,Life Sciences,Male,48,High,2,Laboratory Technician,Divorced,9528,3,No,22,Outstanding,1,3,Good,7,7,1,7,1,0,0,0,9
No,Travel_Rarely,1115,1,Master,Life Sciences,Male,51,Medium,2,Manufacturing Director,Divorced,2689,1,No,18,Excellent,1,2,Best,7,5,0,7,2,0,0,0,4
No,Travel_Rarely,427,1,Bachelor,Medical,Male,33,High,2,Manufacturing Director,Married,10877,1,Yes,22,Outstanding,1,3,Better,9,8,7,8,1,0,0,0,4
No,Travel_Frequently,653,29,Doctor,Life Sciences,Female,50,High,2,Laboratory Technician,Single,5456,1,No,11,Excellent,0,2,Better,10,3,9,9,2,1,1,0,9
No,Travel_Rarely,1223,8,Bachelor,Technical Degree,Female,59,High,3,Healthcare Representative,Divorced,8202,1,No,13,Excellent,3,2,Better,17,14,12,8,2,0,0,0,5
No,Travel_Rarely,836,8,Bachelor,Medical,Female,33,High,4,Manager,Divorced,19730,2,Yes,14,Excellent,3,2,Better,5,0,0,2,4,0,0,0,7
No,Travel_Frequently,1195,11,Bachelor,Life Sciences,Male,95,Medium,2,Manufacturing Director,Single,22656,1,No,13,Excellent,0,3,Better,6,5,0,3,2,0,0,0,4
No,Travel_Rarely,1339,7,Bachelor,Life Sciences,Male,59,High,3,Research Scientist,Divorced,18787,2,No,17,Excellent,1,2,Better,1,0,0,0,3,0,0,0,3
No,Travel_Frequently,664,1,Bachelor,Medical,Male,79,High,1,Research Scientist,Married,5868,4,No,13,Excellent,1,2,Good,3,2,1,2,2,0,1,0,4
Yes,Travel_Rarely,318,9,Bachelor,Medical,Male,79,Medium,1,Research Scientist,Married,21777,1,Yes,17,Excellent,1,0,Good,1,0,0,0,2,0,0,1,5
No,Travel_Frequently,1225,1,Below College,Life Sciences,Female,57,Medium,2,Sales Executive,Single,24668,7,No,11,Excellent,0,2,Good,4,3,1,3,4,0,0,0,5
No,Travel_Rarely,1328,2,Bachelor,Life Sciences,Male,76,High,1,Research Scientist,Married,4956,1,No,23,Outstanding,1,3,Better,5,4,0,4,1,0,1,0,6
No,Travel_Rarely,1082,1,Master,Medical,Male,87,High,1,Research Scientist,Single,18775,1,No,17,Excellent,0,4,Better,1,1,1,0,1,0,1,1,4
No,Travel_Rarely,548,1,Bachelor,Life Sciences,Male,66,High,2,Research Scientist,Married,7346,1,No,17,Excellent,2,3,Better,10,4,0,9,1,0,0,0,3
No,Travel_Rarely,132,6,Bachelor,Life Sciences,Female,55,Very High,1,Laboratory Technician,Married,22002,3,No,12,Excellent,0,3,Better,1,0,0,0,2,0,1,0,5
No,Travel_Rarely,746,8,Master,Life Sciences,Female,61,High,2,Manufacturing Director,Single,20682,1,No,23,Outstanding,0,2,Better,11,7,1,8,1,0,0,0,8
No,Travel_Rarely,776,1,Master,Marketing,Male,32,Medium,2,Sales Executive,Single,23016,1,No,14,Excellent,0,2,Better,15,13,2,8,2,0,0,0,3
No,Travel_Rarely,193,6,Master,Other,Male,52,High,3,Research Director,Married,15067,4,Yes,14,Excellent,0,3,Best,0,0,0,0,3,0,0,0,4
No,Travel_Rarely,397,7,Master,Medical,Male,30,High,3,Research Director,Single,25258,4,No,13,Excellent,0,3,Best,5,2,0,2,2,0,0,0,2
No,Travel_Rarely,945,5,College,Medical,Male,80,High,2,Human Resources,Divorced,10425,8,Yes,22,Outstanding,1,2,Better,4,2,0,2,3,0,0,0,5
No,Travel_Rarely,852,1,Below College,Life Sciences,Male,55,Medium,2,Laboratory Technician,Married,15998,1,Yes,12,Excellent,2,1,Good,10,8,3,0,1,0,0,0,8
No,Travel_Rarely,1214,1,Bachelor,Medical,Male,30,Medium,1,Research Scientist,Single,26278,1,No,18,Excellent,0,3,Better,6,4,0,4,2,0,1,0,3
No,Travel_Rarely,111,1,College,Life Sciences,Male,70,High,3,Sales Executive,Married,18092,3,No,14,Excellent,1,4,Better,1,0,1,0,4,0,0,0,6
No,Non-Travel,573,6,Bachelor,Medical,Female,79,Low,2,Research Scientist,Divorced,15717,7,Yes,12,Excellent,3,3,Better,13,11,1,9,2,0,0,0,7
No,Travel_Rarely,1153,1,College,Medical,Male,94,High,2,Manufacturing Director,Married,17736,1,No,15,Excellent,0,2,Better,5,2,1,3,1,0,0,0,3
No,Travel_Rarely,1400,7,Bachelor,Life Sciences,Male,49,Low,3,Manufacturing Director,Single,21698,4,No,11,Excellent,0,3,Good,6,4,0,2,4,0,0,0,6
No,Travel_Rarely,541,2,Below College,Technical Degree,Male,62,High,1,Sales Representative,Divorced,9518,3,No,13,Excellent,1,3,Better,0,0,0,0,0,0,1,0,4
No,Travel_Rarely,432,9,Master,Life Sciences,Male,96,High,1,Laboratory Technician,Married,18725,3,No,23,Outstanding,2,4,Better,4,2,0,3,3,0,1,0,7
No,Travel_Rarely,288,2,Bachelor,Life Sciences,Male,99,Medium,2,Healthcare Representative,Married,15830,1,No,19,Excellent,3,3,Better,11,10,10,8,1,0,0,0,5
Yes,Travel_Rarely,669,9,College,Medical,Male,64,Medium,3,Sales Executive,Single,13596,1,No,16,Excellent,0,3,Better,9,8,4,7,3,0,0,0,8
No,Travel_Rarely,632,21,Master,Marketing,Male,71,High,2,Sales Executive,Single,8423,1,Yes,22,Outstanding,0,2,Bad,10,7,1,0,3,0,0,0,8
No,Travel_Rarely,1334,4,College,Medical,Female,63,Medium,2,Sales Executive,Divorced,19760,1,Yes,12,Excellent,3,4,Good,11,8,2,7,1,0,0,0,4
No,Travel_Frequently,638,1,Bachelor,Medical,Male,40,Medium,3,Healthcare Representative,Married,3142,2,Yes,13,Excellent,1,5,Good,10,9,9,5,3,0,0,0,4
No,Travel_Rarely,1093,6,Master,Medical,Male,87,High,2,Sales Executive,Single,24301,1,No,16,Excellent,0,0,Better,11,8,5,7,1,0,0,0,3
No,Travel_Rarely,1217,2,Master,Technical Degree,Female,60,High,3,Research Director,Married,24001,9,No,12,Excellent,1,5,Bad,4,3,0,3,4,0,0,0,2
No,Travel_Rarely,1353,3,College,Other,Female,33,High,2,Sales Executive,Married,17519,1,No,21,Outstanding,1,2,Good,3,2,0,2,0,0,0,0,2
No,Non-Travel,120,4,Bachelor,Medical,Male,43,High,2,Sales Executive,Married,8863,1,No,15,Excellent,0,3,Best,5,4,0,4,1,0,0,0,4
No,Non-Travel,489,23,Bachelor,Medical,Male,67,High,2,Laboratory Technician,Married,25043,4,No,12,Excellent,1,3,Best,3,2,1,2,3,1,1,0,4
Yes,Travel_Rarely,807,6,Master,Human Resources,Male,63,High,1,Human Resources,Divorced,23648,4,Yes,22,Outstanding,0,3,Better,3,2,0,2,2,0,1,0,5
No,Travel_Rarely,827,1,Below College,Life Sciences,Male,71,High,1,Research Scientist,Single,15178,1,No,13,Excellent,0,2,Better,1,0,0,0,1,0,1,1,6
Yes,Travel_Frequently,871,6,Bachelor,Life Sciences,Female,66,Medium,1,Laboratory Technician,Single,19783,1,Yes,18,Excellent,0,5,Better,1,0,1,0,0,0,1,1,7
No,Travel_Rarely,665,6,Master,Other,Female,41,High,2,Research Scientist,Single,12482,1,No,14,Excellent,0,3,Better,16,13,2,10,1,0,0,0,4
No,Non-Travel,1040,2,College,Life Sciences,Male,100,Medium,2,Healthcare Representative,Divorced,15850,5,No,14,Excellent,1,2,Best,1,0,0,0,2,0,0,0,8
No,Non-Travel,1420,2,Master,Human Resources,Female,32,Medium,5,Manager,Married,21922,9,No,21,Outstanding,1,3,Better,3,2,2,2,4,0,0,0,8
No,Travel_Frequently,1115,1,Bachelor,Life Sciences,Female,73,High,5,Research Director,Married,9755,3,Yes,19,Excellent,0,1,Good,8,3,0,7,3,0,0,0,1
Yes,Travel_Rarely,240,5,Bachelor,Marketing,Male,46,Medium,2,Sales Executive,Single,26959,1,Yes,11,Excellent,0,1,Better,6,4,0,3,0,0,0,0,7
No,Travel_Rarely,1280,7,Below College,Medical,Male,64,Medium,1,Research Scientist,Married,26897,1,No,11,Excellent,2,2,Better,2,2,2,1,0,0,1,1,8
No,Travel_Rarely,534,15,Bachelor,Medical,Female,59,High,1,Laboratory Technician,Single,23785,1,No,15,Excellent,0,5,Better,0,0,0,0,0,0,1,1,6
No,Travel_Frequently,1456,1,Master,Medical,Female,30,Medium,3,Healthcare Representative,Single,25796,3,No,20,Outstanding,0,1,Good,13,12,12,8,3,0,0,0,2
Yes,Travel_Frequently,658,7,Bachelor,Life Sciences,Male,66,Low,2,Laboratory Technician,Single,22887,1,Yes,24,Outstanding,0,3,Better,9,7,0,6,1,0,0,0,5
No,Non-Travel,142,26,Bachelor,Human Resources,Female,30,Very High,4,Manager,Single,13871,2,Yes,12,Excellent,0,3,Better,5,3,4,4,4,1,0,0,8
No,Travel_Rarely,1127,18,Below College,Life Sciences,Male,52,High,1,Laboratory Technician,Married,13257,1,No,12,Excellent,1,2,Better,5,3,1,2,0,0,1,0,5
No,Travel_Rarely,1031,6,Master,Life Sciences,Female,45,Medium,2,Research Scientist,Divorced,15000,6,No,15,Excellent,1,3,Better,1,0,0,0,1,0,0,0,5
No,Travel_Rarely,1189,3,Bachelor,Life Sciences,Male,87,High,3,Sales Executive,Single,14506,2,No,12,Excellent,0,3,Better,5,3,1,3,2,0,0,0,5
No,Travel_Rarely,1354,5,Bachelor,Medical,Female,45,Medium,3,Manager,Single,5615,2,No,12,Excellent,0,6,Better,11,10,5,8,1,0,0,0,5
No,Travel_Frequently,1467,11,College,Technical Degree,Female,92,High,3,Sales Executive,Married,22952,1,No,14,Excellent,1,6,Better,9,7,2,8,2,0,0,0,6
No,Travel_Rarely,922,3,College,Life Sciences,Female,39,High,1,Laboratory Technician,Divorced,2561,5,No,22,Outstanding,1,2,Better,1,0,0,0,2,0,1,0,3
No,Travel_Frequently,1312,23,Bachelor,Life Sciences,Male,96,Low,1,Research Scientist,Divorced,22310,1,No,25,Outstanding,3,2,Good,10,7,0,9,1,1,1,0,4
No,Non-Travel,750,22,College,Marketing,Male,95,High,2,Sales Executive,Married,15480,1,No,13,Excellent,1,2,Best,7,7,0,7,1,1,0,0,3
Yes,Travel_Rarely,441,14,Master,Life Sciences,Female,72,High,1,Research Scientist,Married,4510,9,Yes,18,Excellent,3,2,Better,5,4,4,3,4,0,0,0,2
Yes,Travel_Rarely,249,6,Master,Life Sciences,Male,76,Low,2,Sales Executive,Married,20739,4,Yes,18,Excellent,0,3,Good,7,7,7,7,1,0,0,0,4
No,Travel_Rarely,841,6,Bachelor,Other,Female,46,Medium,1,Research Scientist,Married,23300,1,No,19,Excellent,0,3,Good,5,4,4,3,0,0,1,0,5
Yes,Travel_Rarely,528,22,Below College,Marketing,Male,50,High,1,Sales Representative,Single,26820,1,Yes,19,Excellent,0,2,Good,0,0,0,0,0,1,1,1,8
No,Travel_Rarely,594,2,Below College,Technical Degree,Male,100,High,1,Laboratory Technician,Married,19299,1,No,14,Excellent,1,2,Better,2,1,2,1,0,0,1,0,7
No,Travel_Rarely,470,20,Master,Medical,Female,96,High,2,Manufacturing Director,Married,5549,1,No,14,Excellent,0,2,Good,15,11,5,11,3,0,0,0,4
No,Travel_Frequently,957,28,Bachelor,Medical,Female,72,Very High,1,Research Scientist,Single,16090,4,No,12,Excellent,0,2,Better,3,2,1,2,2,1,0,0,6
No,Travel_Frequently,809,12,Bachelor,Marketing,Female,77,High,3,Sales Executive,Single,6645,4,No,11,Excellent,0,3,Better,2,2,2,1,3,0,0,0,8
Yes,Travel_Rarely,542,20,Bachelor,Life Sciences,Female,71,Low,2,Sales Executive,Married,24788,3,Yes,11,Excellent,1,2,Better,2,2,2,2,1,0,0,0,5
No,Travel_Rarely,802,9,Below College,Life Sciences,Male,96,High,3,Sales Executive,Divorced,21196,3,Yes,13,Excellent,1,2,Better,9,7,0,7,2,0,0,0,6
No,Travel_Rarely,1355,25,Below College,Life Sciences,Female,61,High,1,Human Resources,Married,8916,1,No,23,Outstanding,1,3,Better,8,7,5,7,0,1,1,0,7
No,Travel_Rarely,216,6,College,Medical,Male,84,High,2,Manufacturing Director,Divorced,2819,6,No,20,Outstanding,2,0,Better,3,2,0,1,2,0,0,0,5
Yes,Travel_Frequently,1150,8,Master,Life Sciences,Male,53,Low,3,Manufacturing Director,Single,25150,2,No,15,Excellent,0,2,Better,4,2,0,3,3,0,0,0,6
No,Travel_Rarely,1329,4,Master,Life Sciences,Female,47,Medium,2,Sales Executive,Married,14590,4,No,14,Excellent,1,1,Best,15,11,5,9,2,0,0,0,7
No,Travel_Rarely,959,28,Bachelor,Life Sciences,Male,41,Medium,2,Sales Executive,Married,24835,2,No,18,Excellent,0,3,Better,2,2,2,2,0,1,0,0,5
No,Travel_Rarely,1240,9,Bachelor,Human Resources,Male,48,High,2,Human Resources,Married,13982,1,Yes,19,Excellent,0,2,Bad,11,9,4,7,1,0,0,0,8
Yes,Travel_Rarely,1033,9,Bachelor,Medical,Female,41,High,1,Laboratory Technician,Single,10224,7,No,22,Outstanding,0,2,Best,5,4,0,4,1,0,0,0,0
No,Travel_Rarely,1316,29,Bachelor,Medical,Male,83,High,1,Research Scientist,Single,9752,5,No,13,Excellent,0,2,Good,6,5,0,3,3,1,0,0,6
No,Travel_Rarely,364,3,Doctor,Technical Degree,Female,32,High,2,Research Scientist,Single,2302,3,Yes,20,Outstanding,0,2,Better,3,2,2,2,2,0,0,0,6
No,Travel_Rarely,438,18,Bachelor,Life Sciences,Female,75,High,1,Research Scientist,Single,23910,1,No,14,Excellent,0,4,Good,5,4,0,4,1,0,1,0,4
No,Travel_Frequently,689,9,College,Medical,Male,35,Low,2,Sales Executive,Divorced,22812,1,No,17,Excellent,3,2,Best,8,7,0,7,1,0,0,0,9
No,Travel_Rarely,201,5,Bachelor,Technical Degree,Female,84,High,1,Research Scientist,Divorced,10415,5,No,14,Excellent,1,3,Better,3,2,2,2,1,0,0,0,6
No,Travel_Rarely,1427,2,Below College,Medical,Male,35,Medium,1,Laboratory Technician,Single,11162,1,No,13,Excellent,0,3,Better,5,3,1,2,1,0,1,0,7
No,Travel_Frequently,857,10,Bachelor,Life Sciences,Male,91,Medium,4,Manager,Divorced,12888,4,No,13,Excellent,1,2,Good,7,6,7,7,2,0,0,0,4
No,Travel_Rarely,933,9,Master,Life Sciences,Male,94,High,1,Laboratory Technician,Married,6961,2,No,21,Outstanding,1,2,Better,5,0,1,4,2,0,1,0,5
No,Travel_Rarely,1181,3,Below College,Medical,Female,79,High,1,Laboratory Technician,Single,16102,1,No,14,Excellent,0,3,Better,1,0,0,0,0,0,1,1,5
No,Travel_Rarely,662,1,Doctor,Marketing,Male,94,High,3,Sales Executive,Married,11439,1,No,13,Excellent,2,3,Better,10,8,0,6,2,0,0,0,3
No,Travel_Rarely,1436,6,College,Marketing,Male,34,High,2,Sales Representative,Married,16047,2,Yes,20,Outstanding,1,3,Bad,7,7,4,5,4,0,1,0,6
No,Travel_Rarely,194,9,Bachelor,Life Sciences,Male,60,High,2,Laboratory Technician,Divorced,10901,8,No,18,Excellent,1,2,Bad,17,9,0,15,3,0,1,0,4
No,Travel_Frequently,967,8,Bachelor,Marketing,Female,43,High,3,Sales Executive,Single,15589,1,No,14,Excellent,0,2,Better,9,8,3,7,1,0,0,0,7
No,Non-Travel,1496,1,Below College,Technical Degree,Male,41,High,2,Manufacturing Director,Married,26283,1,No,13,Excellent,1,1,Better,10,7,0,9,1,0,0,0,5
No,Travel_Rarely,1169,7,Master,Medical,Male,34,Medium,2,Manufacturing Director,Married,13983,2,No,17,Excellent,0,2,Better,1,0,0,0,3,0,0,0,5
No,Travel_Rarely,1145,9,Bachelor,Medical,Female,75,Medium,1,Research Scientist,Married,11873,4,Yes,20,Outstanding,1,3,Good,1,0,0,0,4,0,0,0,3
No,Travel_Rarely,630,4,Master,Marketing,Male,67,Medium,3,Sales Executive,Married,8552,7,No,11,Excellent,1,2,Good,12,11,2,11,2,0,0,0,5
No,Travel_Frequently,303,2,Master,Marketing,Female,75,High,1,Sales Representative,Married,11314,6,No,18,Excellent,1,3,Better,4,3,1,2,1,0,1,0,7
No,Travel_Rarely,1256,19,Below College,Medical,Male,80,High,1,Research Scientist,Married,11992,1,No,24,Outstanding,2,6,Better,2,2,2,2,0,0,1,1,5
No,Non-Travel,691,9,Bachelor,Medical,Male,57,High,1,Research Scientist,Divorced,5970,6,No,18,Excellent,1,1,Bad,2,2,2,2,1,0,1,0,7
No,Travel_Rarely,440,21,Bachelor,Medical,Male,42,High,1,Research Scientist,Married,6672,1,No,11,Excellent,1,2,Bad,5,2,0,2,1,0,1,0,7
No,Travel_Rarely,334,24,College,Life Sciences,Male,83,Very High,3,Healthcare Representative,Divorced,23402,3,Yes,16,Excellent,1,2,Bad,5,3,1,4,4,1,0,0,6
No,Non-Travel,1450,3,Bachelor,Medical,Male,79,Medium,1,Research Scientist,Divorced,25326,1,Yes,15,Excellent,1,2,Good,1,1,0,1,1,0,1,1,7
No,Travel_Rarely,1452,11,Bachelor,Life Sciences,Female,53,High,5,Manager,Single,17053,3,No,15,Excellent,0,5,Better,5,4,4,4,3,0,0,0,4
No,Travel_Rarely,465,14,Bachelor,Life Sciences,Male,56,High,1,Research Scientist,Divorced,4609,4,No,12,Excellent,1,2,Better,9,8,1,8,2,0,1,0,2
No,Travel_Rarely,1339,5,Bachelor,Life Sciences,Female,41,High,3,Sales Executive,Married,8053,2,No,12,Excellent,1,2,Better,10,9,7,4,1,0,0,0,6
